cluster,patients,patient_percentage,mean_age,mean_apache_iva,mean_icu_los,mean_hospital_los,icu_mortality,hospital_mortality
0,360,5.054050259722027,67.24166666666666,75.53067484662577,3.9514429012345675,9.160524691358024,14.444444444444443,19.832402234636874
1,348,4.885581917731293,67.30459770114942,75.68518518518519,4.173525303320562,10.555056673052363,14.942528735632186,19.36416184971098
2,2059,28.90635967991015,66.51092763477416,73.14505494505495,3.6726218903459067,8.336799147374668,12.967459932005829,19.22320550639135
3,2128,29.87505264635687,66.33176691729324,73.57386666666666,3.993548650271512,8.712220982142858,12.546992481203006,18.89838556505223
4,87,1.2213954794328232,64.50574712643679,73.37333333333333,4.6544460408684545,10.924225734355044,14.942528735632186,19.54022988505747
5,173,2.4287519303664187,61.26589595375722,79.8076923076923,3.9500923249839435,9.828038696210662,12.138728323699421,21.428571428571427
6,227,3.186859469324723,67.20704845814979,73.2156862745098,4.129218673519334,8.669453622124328,10.572687224669604,21.145374449339208
7,170,2.386634844868735,59.529411764705884,70.67857142857143,4.286691176470588,10.4725204248366,10.0,19.411764705882355
8,223,3.1307033553278116,66.32286995515695,72.36842105263158,3.9479696063776784,8.67447683109118,11.210762331838566,17.937219730941703
9,65,0.9125368524498104,65.21538461538462,75.70491803278688,9.082350427350427,13.862147435897436,18.461538461538463,19.047619047619047
10,74,1.0388881089428612,63.45945945945946,72.03333333333333,4.589977477477478,11.870392267267267,8.108108108108109,13.513513513513514
11,54,0.7581075389583041,60.925925925925924,69.02222222222223,3.915560699588477,12.897800925925926,24.074074074074073,24.074074074074073
12,123,1.726800505405026,61.38211382113821,72.16161616161617,3.964041327913279,10.130905600722674,11.38211382113821,18.69918699186992
13,57,0.8002246244559876,63.78947368421053,76.26829268292683,6.163365009746589,11.870394736842105,17.543859649122805,27.27272727272727
14,121,1.6987224484065704,65.11570247933884,72.64761904761905,3.6279155188246097,8.93142217630854,11.570247933884298,23.140495867768596
15,68,0.9546539379474941,64.79411764705883,71.80357142857143,3.5058006535947714,10.036049836601308,7.352941176470589,18.461538461538463
16,65,0.9125368524498104,64.53846153846153,67.84444444444445,4.012553418803419,8.378600427350428,18.461538461538463,23.076923076923077
17,55,0.772146567457532,53.872727272727275,78.6086956521739,3.737613636363636,8.612828282828284,12.727272727272727,20.0
18,111,1.5583321634142917,62.26126126126126,75.53684210526316,3.5857107107107105,8.899787287287287,10.81081081081081,16.216216216216218
19,130,1.8250737048996208,59.207692307692305,76.71428571428571,4.159780982905983,10.110480769230769,12.307692307692308,19.047619047619047
20,233,3.27109364032009,66.5922746781116,72.36486486486487,5.816613018597997,11.125658679065332,14.592274678111588,23.17596566523605
21,192,2.695493471851748,65.77083333333333,70.07821229050279,4.399692563657408,9.281090856481482,9.895833333333332,15.873015873015872
