k,Mean_ARI,Std_ARI,Min_ARI,Max_ARI
3,0.4233024252997775,0.10009802683064552,0.25266393579516544,0.5464273919380025
4,0.6561588809012436,0.0849108403534258,0.5893609796375463,0.8091479913238481
5,0.7789108892194275,0.05119644037343424,0.7085035114321686,0.8590870199507619
6,0.8468956568024143,0.03652824402276308,0.8045782683643931,0.9119397342459229
7,0.8261046196442078,0.018320613411622565,0.7966869640129314,0.8423793734862415
8,0.8825883733735318,0.02924183018766925,0.847030804998903,0.9235689023279924
9,0.8286355795631165,0.07572705000455662,0.7470083724501592,0.917301386119209
10,0.8450871918459248,0.06807834141453324,0.769925755440473,0.9250901195268169
