Method,k,Seed_1,Seed_2,ARI
t-SNE,10,42,456,0.9862317114265049
t-SNE,10,42,789,0.9834227736492511
t-SNE,10,123,456,0.9877391703016729
t-SNE,10,123,789,0.9848819077326567
t-SNE,10,456,789,0.9971172227568126
UMAP,3,1606,42,1.0
UMAP,3,1606,123,1.0
UMAP,3,1606,456,1.0
UMAP,3,1606,789,1.0
UMAP,3,42,123,1.0
UMAP,3,42,456,1.0
UMAP,3,42,789,1.0
UMAP,3,123,456,1.0
UMAP,3,123,789,1.0
UMAP,3,456,789,1.0
UMAP,4,1606,42,1.0
UMAP,4,1606,123,1.0
UMAP,4,1606,456,1.0
UMAP,4,1606,789,1.0
UMAP,4,42,123,1.0
UMAP,4,42,456,1.0
UMAP,4,42,789,1.0
UMAP,4,123,456,1.0
UMAP,4,123,789,1.0
UMAP,4,456,789,1.0
UMAP,5,1606,42,1.0
UMAP,5,1606,123,1.0
UMAP,5,1606,456,1.0
UMAP,5,1606,789,0.9710374962884143
UMAP,5,42,123,1.0
UMAP,5,42,456,1.0
UMAP,5,42,789,0.9710374962884143
UMAP,5,123,456,1.0
UMAP,5,123,789,0.9710374962884143
UMAP,5,456,789,0.9710374962884143
UMAP,6,1606,42,1.0
UMAP,6,1606,123,1.0
UMAP,6,1606,456,1.0
UMAP,6,1606,789,1.0
UMAP,6,42,123,1.0
UMAP,6,42,456,1.0
UMAP,6,42,789,1.0
UMAP,6,123,456,1.0
UMAP,6,123,789,1.0
UMAP,6,456,789,1.0
UMAP,7,1606,42,1.0
UMAP,7,1606,123,1.0
UMAP,7,1606,456,0.9513970509016932
UMAP,7,1606,789,0.9154363103116956
UMAP,7,42,123,1.0
UMAP,7,42,456,0.9513970509016932
UMAP,7,42,789,0.9154363103116956
UMAP,7,123,456,0.9513970509016932
UMAP,7,123,789,0.9154363103116956
UMAP,7,456,789,0.9227153237701721
UMAP,8,1606,42,0.9329793577853995
UMAP,8,1606,123,0.9507551510781216
UMAP,8,1606,456,0.9507551510781216
UMAP,8,1606,789,0.949698410413069
UMAP,8,42,123,0.9256135093831902
UMAP,8,42,456,0.9256135093831902
UMAP,8,42,789,0.9669464050908657
UMAP,8,123,456,1.0
UMAP,8,123,789,0.9573958186550087
UMAP,8,456,789,0.9573958186550087
UMAP,9,1606,42,0.9830833415209047
UMAP,9,1606,123,0.9706313618463112
UMAP,9,1606,456,0.9706313618463112
UMAP,9,1606,789,0.9529838228836272
UMAP,9,42,123,0.9624170590004966
UMAP,9,42,456,0.9624170590004966
UMAP,9,42,789,0.9447712549930906
UMAP,9,123,456,1.0
UMAP,9,123,789,0.9822228418667137
UMAP,9,456,789,0.9822228418667137
UMAP,10,1606,42,1.0
UMAP,10,1606,123,1.0
UMAP,10,1606,456,1.0
UMAP,10,1606,789,1.0
UMAP,10,42,123,1.0
UMAP,10,42,456,1.0
UMAP,10,42,789,1.0
UMAP,10,123,456,1.0
UMAP,10,123,789,1.0
UMAP,10,456,789,1.0
VAE,3,1606,42,1.0
VAE,3,1606,123,1.0
VAE,3,1606,456,1.0
VAE,3,1606,789,1.0
VAE,3,42,123,1.0
VAE,3,42,456,1.0
VAE,3,42,789,1.0
VAE,3,123,456,1.0
VAE,3,123,789,1.0
VAE,3,456,789,1.0
VAE,4,1606,42,1.0
VAE,4,1606,123,1.0
VAE,4,1606,456,0.9993211047030319
VAE,4,1606,789,1.0
VAE,4,42,123,1.0
VAE,4,42,456,0.9993211047030319
VAE,4,42,789,1.0
VAE,4,123,456,0.9993211047030319
VAE,4,123,789,1.0
VAE,4,456,789,0.9993211047030319
VAE,5,1606,42,1.0
VAE,5,1606,123,1.0
VAE,5,1606,456,1.0
VAE,5,1606,789,1.0
VAE,5,42,123,1.0
VAE,5,42,456,1.0
VAE,5,42,789,1.0
VAE,5,123,456,1.0
VAE,5,123,789,1.0
VAE,5,456,789,1.0
VAE,6,1606,42,1.0
VAE,6,1606,123,1.0
VAE,6,1606,456,1.0
VAE,6,1606,789,1.0
VAE,6,42,123,1.0
VAE,6,42,456,1.0
VAE,6,42,789,1.0
VAE,6,123,456,1.0
VAE,6,123,789,1.0
VAE,6,456,789,1.0
VAE,7,1606,42,1.0
VAE,7,1606,123,1.0
VAE,7,1606,456,1.0
VAE,7,1606,789,1.0
VAE,7,42,123,1.0
VAE,7,42,456,1.0
VAE,7,42,789,1.0
VAE,7,123,456,1.0
VAE,7,123,789,1.0
VAE,7,456,789,1.0
VAE,8,1606,42,1.0
VAE,8,1606,123,0.9223723149582409
VAE,8,1606,456,1.0
VAE,8,1606,789,1.0
VAE,8,42,123,0.9223723149582409
VAE,8,42,456,1.0
VAE,8,42,789,1.0
VAE,8,123,456,0.9223723149582409
VAE,8,123,789,0.9223723149582409
VAE,8,456,789,1.0
VAE,9,1606,42,1.0
VAE,9,1606,123,1.0
VAE,9,1606,456,1.0
VAE,9,1606,789,1.0
VAE,9,42,123,1.0
VAE,9,42,456,1.0
VAE,9,42,789,1.0
VAE,9,123,456,1.0
VAE,9,123,789,1.0
VAE,9,456,789,1.0
VAE,10,1606,42,0.999520249111724
VAE,10,1606,123,0.9998151247162106
VAE,10,1606,456,1.0
VAE,10,1606,789,0.999520249111724
VAE,10,42,123,0.9997046897028123
VAE,10,42,456,0.999520249111724
VAE,10,42,789,1.0
VAE,10,123,456,0.9998151247162106
VAE,10,123,789,0.9997046897028123
VAE,10,456,789,0.999520249111724
