n_neighbors,min_dist,Trustworthiness,Continuity,Quality_Score
40,0.05,0.9615792548787457,0.9792178608263731,0.9703985578525594
50,0.05,0.960605483945228,0.9794331715369503,0.9700193277410891
75,0.05,0.9603924466171532,0.9796290488440926,0.9700107477306229
40,0.1,0.9606326581400872,0.9791446088377381,0.9698886334889127
20,0.05,0.9617631817284406,0.9777588801500184,0.9697610309392295
50,0.1,0.9597864696714503,0.979733698807255,0.9697600842393527
75,0.1,0.9599585931713045,0.9794683307978578,0.9697134619845811
40,0.2,0.9594534131636919,0.9798889575870557,0.9696711853753739
100,0.1,0.9594660676748895,0.9798430594708367,0.9696545635728631
75,0.2,0.9592093562153408,0.980084089585178,0.9696467229002594
100,0.05,0.9598691023484863,0.9792398037444472,0.9695544530464668
50,0.2,0.9590579233189873,0.9799333124304823,0.9694956178747348
75,0.3,0.9587701303562575,0.9802032158054019,0.9694866730808297
40,0.4,0.9583498504370259,0.980467778251372,0.969408814344199
40,0.3,0.9587714282687607,0.9800241901903334,0.969397809229547
100,0.2,0.9586282594543596,0.9800710415204191,0.9693496504873893
50,0.3,0.9584333440464041,0.9799170003139119,0.969175172180158
100,0.3,0.958019321357379,0.9800866702108744,0.9690529957841267
40,0.5,0.9578753089812758,0.9800783209042198,0.9689768149427478
75,0.5,0.9574202020146256,0.9804995328668508,0.9689598674407383
20,0.1,0.9603394205674006,0.9775504514698532,0.9689449360186269
75,0.4,0.9578015130744776,0.9799895042793644,0.968895508676921
50,0.4,0.9575487724346531,0.9801645807880087,0.9688566766113309
50,0.5,0.9576186566904693,0.9798333194273218,0.9687259880588955
100,0.5,0.9570963150334266,0.9803314154708331,0.9687138652521299
100,0.4,0.9574903131744261,0.9798663399281864,0.9686783265513063
20,0.4,0.9577037093147823,0.978736564905848,0.9682201371103152
20,0.2,0.9586155436030896,0.9777102152165563,0.9681628794098229
20,0.3,0.9582600995974411,0.9773159239460077,0.9677880117717244
20,0.5,0.9560821242492616,0.9776035415738407,0.9668428329115512
10,0.1,0.9560591038086786,0.9730699554564408,0.9645645296325598
10,0.05,0.9572731774609899,0.9713180216516287,0.9642955995563094
10,0.2,0.9538455365620907,0.9723826953152923,0.9631141159386916
5,0.05,0.9577977963003625,0.9682419277638735,0.963019862032118
10,0.5,0.950695011110682,0.9739057883095099,0.962300399710096
10,0.4,0.9525372212169372,0.9717367984676729,0.962137009842305
5,0.1,0.9572597836119298,0.9669096637345651,0.9620847236732475
10,0.3,0.9536208283353049,0.9700547804029619,0.9618378043691334
5,0.2,0.9556091255234713,0.9672175024157879,0.9614133139696296
5,0.5,0.9510421324084684,0.9689659588356165,0.9600040456220424
5,0.3,0.9536161051497382,0.9659298358760326,0.9597729705128855
5,0.4,0.9516020663016753,0.9674331697673164,0.9595176180344959
