hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index,valid_model,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,combined_rank
128,64,0.0008,0.15,1.0,0.2744424356223724,18,66,0.8398015014632905,51,0.8528271913528442,0.3944527060460252,46093.87683734935,True,135.0,176.0,144.0,455.0
256,128,0.0006,0.15,0.8,0.1465367445173625,22,44,0.5598676676421938,55,0.7670630812644958,0.2863089154018663,22246.45736609457,True,180.0,107.0,173.0,460.0
256,128,0.0006,0.1,0.9,0.2659381681183699,23,143,1.8195699198371293,51,0.8368135094642639,0.3702567711487226,36806.25931801418,True,147.0,164.0,151.0,462.0
256,128,0.0006,0.15,0.9,0.16485383758203281,22,40,0.5089706069474488,55,0.7665115594863892,0.2869658015425734,22201.114299161294,True,181.0,108.0,174.0,463.0
256,128,0.0006,0.15,1.0,0.18317093064670312,22,40,0.5089706069474488,55,0.7665115594863892,0.2869658015425734,22201.114299161294,True,181.0,108.0,174.0,463.0
256,128,0.0008,0.2,0.9,0.32295420525825425,13,94,1.1960809263265046,51,0.8486714959144592,0.39986438926361917,41161.761975643676,True,139.0,178.0,147.0,464.0
128,64,0.0001,0.15,0.8,0.2897835053093824,12,106,1.3487721084107391,51,0.8311000466346741,0.371150534233192,39885.391119297245,True,150.0,166.0,148.0,464.0
128,64,0.0004,0.1,1.0,0.2727101087099642,20,104,1.3233235780633668,53,0.8257761001586914,0.35713031215364244,32120.280422701933,True,153.0,155.0,159.0,467.0
256,128,0.0004,0.1,0.8,0.12579568115420817,27,212,2.6975442168214783,55,0.7433948516845703,0.24038726822896433,10406.430117364465,True,190.0,77.0,200.0,467.0
256,128,0.0004,0.15,1.0,0.1948868755591117,21,102,1.2978750477159944,98,0.7856823205947876,0.2897937125815201,18591.706833577096,True,175.0,113.0,181.0,469.0
128,64,0.0001,0.15,0.9,0.3260064434730552,13,29,0.36900369003690037,51,0.8289945721626282,0.38967038220475547,37492.72463205157,True,151.0,174.0,150.0,475.0
128,64,0.0009,0.15,0.8,0.2699409141702889,19,153,1.9468125715739915,51,0.8372013568878174,0.3958591938050904,35987.553317205675,True,146.0,177.0,152.0,475.0
256,128,0.0002,0.15,1.0,0.22160748161504173,15,39,0.4962463417737626,150,0.809156596660614,0.41336166547052033,43631.56898224992,True,168.0,180.0,146.0,494.0
128,64,0.0003,0.1,1.0,0.34730261945008584,15,3,0.03817279552105866,55,0.832754909992218,0.42622864641632235,31414.851536402643,True,149.0,188.0,160.0,497.0
128,64,0.0001,0.05,0.8,0.12112920485310226,17,162,2.0613309581371677,58,0.7545917630195618,0.3207152680004739,21135.547971260487,True,187.0,140.0,177.0,504.0
256,128,0.001,0.15,0.9,0.3277399057285803,18,113,1.4378419646265428,51,0.8395441770553589,0.42127932869282764,21191.026064488255,True,145.0,186.0,176.0,507.0
128,64,0.0001,0.05,0.9,0.13627035545974003,17,131,1.6668787377528946,59,0.753258228302002,0.32424627123922994,21101.293781545486,True,188.0,142.0,178.0,508.0
256,128,0.0004,0.1,0.9,0.1415201412984842,27,140,1.781397124316071,55,0.7341150045394897,0.29396025348329063,10351.950780005225,True,191.0,118.0,201.0,510.0
256,128,0.0008,0.2,1.0,0.3588380058425047,12,57,0.7252831149001145,51,0.8224731683731079,0.4187718474302369,24232.128831382688,True,158.0,185.0,169.0,512.0
256,128,0.0003,0.15,0.8,0.21232928863384318,17,32,0.407176485557959,63,0.7822627425193787,0.41423121148401815,34212.17358257587,True,177.0,181.0,155.0,513.0
256,128,0.0005,0.15,0.9,0.16885424676847602,21,50,0.636213258684311,55,0.7633240818977356,0.3585991225394469,22747.204674282115,True,183.0,158.0,172.0,513.0
256,128,0.0003,0.1,0.8,0.16521841499877876,24,106,1.3487721084107391,55,0.7256554961204529,0.3030757247950485,12218.04473092829,True,192.0,126.0,195.0,513.0
128,64,0.0001,0.05,1.0,0.15141150606637782,17,97,1.2342537218475633,61,0.7508625388145447,0.33395707594334045,21046.751512914703,True,189.0,147.0,179.0,515.0
128,64,0.0002,0.1,0.8,0.2824133874541956,14,0,0.0,63,0.7928370237350464,0.43232055750924553,33566.27792150451,True,171.0,192.0,158.0,521.0
256,128,0.0006,0.1,1.0,0.2954868534648554,20,62,0.7889044407685456,51,0.8102249503135681,0.4331572360308522,27990.344075187186,True,165.0,193.0,164.0,522.0
256,128,0.0007,0.15,0.9,0.31017079439439904,19,72,0.9161470925054078,51,0.8261445164680481,0.43397285037240535,17047.22525258656,True,152.0,194.0,186.0,532.0
256,128,0.0003,0.1,0.9,0.1858707168736261,22,95,1.2088051915001907,55,0.7086578607559204,0.32583186020147453,12388.961116130045,True,195.0,143.0,194.0,532.0
256,128,0.0009,0.25,0.9,0.3052242193898488,11,85,1.0815625397633286,51,0.7968795895576477,0.4170751476421614,18560.076332938377,True,169.0,183.0,182.0,534.0
128,64,0.0009,0.15,0.9,0.30368352844157503,17,143,1.8195699198371293,51,0.8138881325721741,0.47306328597260944,34209.70444343796,True,163.0,215.0,156.0,534.0
128,64,0.0001,0.01,0.8,0.320047425281214,18,161,2.0486066929634816,58,0.6903653740882874,0.3389560526903191,18464.249381883685,True,200.0,151.0,183.0,534.0
256,128,0.0004,0.1,1.0,0.1572446014427602,22,110,1.3996691691054841,55,0.7031832337379456,0.32154904453058486,11734.812982115523,True,197.0,141.0,198.0,536.0
128,64,0.0009,0.2,0.9,0.42799340531597524,11,29,0.36900369003690037,175,0.8352667689323425,0.49781118914390954,27728.875897027727,True,148.0,226.0,165.0,539.0
128,64,0.001,0.25,0.9,0.31626472917449755,11,0,0.0,157,0.7876689434051514,0.4356604316379802,23573.864051214903,True,174.0,196.0,170.0,540.0
128,64,0.0002,0.05,0.8,0.2124936410527076,21,385,4.898842091869195,58,0.6662441492080688,0.30623208322435286,9689.709292629836,True,209.0,129.0,203.0,541.0
256,128,0.0003,0.1,1.0,0.20652301874847345,21,40,0.5089706069474488,55,0.6940863728523254,0.344368489654762,12557.54915411393,True,198.0,153.0,193.0,544.0
128,64,0.0005,0.1,0.8,0.23945957054308234,22,262,3.3337574755057893,55,0.682918906211853,0.31400170845710895,8731.945751746598,True,203.0,132.0,211.0,546.0
256,128,0.0009,0.25,1.0,0.3391380215442764,11,43,0.5471434024685075,51,0.7884080410003662,0.43025296781317623,16981.76096425359,True,173.0,191.0,187.0,551.0
128,64,0.001,0.25,0.8,0.2811242037106645,12,36,0.4580735462527039,157,0.8100882172584534,0.4926752949078959,29748.65305465473,True,166.0,223.0,163.0,552.0
256,128,0.0003,0.15,0.9,0.23887044971307358,15,0,0.0,150,0.7581989765167236,0.45937202051377996,29898.26681337583,True,185.0,209.0,161.0,555.0
256,128,0.0003,0.15,1.0,0.26541161079230396,15,0,0.0,150,0.7581989765167236,0.45937202051377996,29898.26681337583,True,185.0,209.0,161.0,555.0
128,64,0.0002,0.1,0.9,0.31771506088597,13,0,0.0,63,0.7680854797363281,0.4672316384076138,25237.60648832882,True,179.0,212.0,167.0,558.0
256,128,0.0009,0.15,0.9,0.34224302053010003,18,57,0.7252831149001145,51,0.8158366084098816,0.45616703376010104,12920.475694920924,True,162.0,205.0,192.0,559.0
256,128,0.001,0.15,1.0,0.36415545080953365,16,52,0.6616617890316834,55,0.8095601797103882,0.4587167280009315,14048.860119457548,True,167.0,207.0,188.0,562.0
256,128,0.0007,0.15,1.0,0.3446342159937767,18,72,0.9161470925054078,51,0.8130638599395752,0.4625262564606397,13701.925094043943,True,164.0,211.0,189.0,564.0
128,64,0.0002,0.05,0.9,0.23905534618429602,22,250,3.181066293421555,50,0.6681905388832092,0.3614328256573,9291.264623591695,True,208.0,159.0,207.0,574.0
128,64,0.0002,0.1,1.0,0.35301673431774444,12,0,0.0,63,0.7601288557052612,0.4887467824216152,23339.116964532586,True,184.0,221.0,171.0,576.0
256,128,0.0005,0.15,1.0,0.18761582974275112,18,48,0.6107647283369385,55,0.7085776925086975,0.445370167636404,20560.17379912764,True,196.0,200.0,180.0,576.0
128,64,0.0002,0.05,1.0,0.2656170513158845,21,221,2.8120626033846547,58,0.664736807346344,0.3647835197110056,9638.143131585512,True,211.0,161.0,204.0,576.0
256,128,0.0009,0.15,0.8,0.3042160182489778,19,57,0.7252831149001145,51,0.8199228644371033,0.4987815083911165,13273.553357060751,True,160.0,227.0,191.0,578.0
256,128,0.0007,0.1,0.8,0.21086432870379307,21,136,1.730500063621326,55,0.6786512732505798,0.3790675618980167,9325.302281520582,True,204.0,171.0,206.0,581.0
128,64,0.0007,0.1,0.8,0.23258830529547608,22,216,2.7484412775162235,55,0.6660470962524414,0.37323166454428686,7863.9560945884905,True,210.0,168.0,218.0,596.0
256,128,0.0002,0.1,0.9,0.2431069251089526,18,1,0.012724265173686218,110,0.683554470539093,0.4674847202335434,13572.52475541703,True,202.0,213.0,190.0,605.0
256,128,0.0002,0.05,0.8,0.27503193375928536,21,325,4.1353861814480215,51,0.6118284463882446,0.3707843315499729,7094.969062927497,True,221.0,165.0,224.0,610.0
256,128,0.0009,0.1,0.8,0.23067737955481493,23,262,3.3337574755057893,51,0.6737761497497559,0.4263207055177983,7904.555352570071,True,206.0,189.0,217.0,612.0
128,64,0.0009,0.2,1.0,0.4755482281288614,10,25,0.3181066293421555,175,0.7918697595596313,0.5758961422681208,17792.64710833249,True,172.0,260.0,184.0,616.0
128,64,0.0001,0.15,1.0,0.36222938163672797,9,29,0.36900369003690037,51,0.7758376002311707,0.5887784711956219,27265.790253484152,True,178.0,272.0,166.0,616.0
256,128,0.0007,0.1,0.9,0.2372223697917672,19,70,0.8906985621580354,55,0.6410423517227173,0.44543836496043643,8841.440345549607,True,214.0,201.0,210.0,625.0
128,64,0.0007,0.1,0.9,0.2616618434574106,20,149,1.8959155108792467,55,0.6353604793548584,0.43475005103550746,8006.53236292662,True,216.0,195.0,216.0,627.0
256,128,0.0007,0.1,1.0,0.2635804108797413,16,57,0.7252831149001145,55,0.6239302754402161,0.4522824107438757,8884.35365611763,True,218.0,204.0,209.0,631.0
128,64,0.001,0.2,0.9,0.5277827184239205,9,24,0.30538236416846926,175,0.7247244715690613,0.5251442792059371,9973.608972432268,True,193.0,241.0,202.0,636.0
128,64,0.0009,0.15,1.0,0.33742614271286114,12,121,1.5396360860160325,110,0.6848059296607971,0.5136582224821896,10833.220415426586,True,201.0,236.0,199.0,636.0
256,128,0.0009,0.1,0.9,0.2595120519991668,21,151,1.921364041226619,51,0.6609153747558594,0.4823325443817767,8294.407917464692,True,212.0,218.0,213.0,643.0
256,128,0.0001,0.05,0.8,0.28533287516333394,19,77,0.9797684183738389,55,0.5994666814804077,0.4413064222673175,7674.925086035489,True,225.0,199.0,220.0,644.0
256,128,0.0009,0.15,1.0,0.38027002281122224,14,57,0.7252831149001145,51,0.7193654775619507,0.49578222858080156,6799.521293838623,True,194.0,225.0,228.0,647.0
256,128,0.0002,0.05,0.9,0.309410925479196,19,240,3.053823641684693,51,0.6009061932563782,0.44944192125613336,7471.079582123399,True,223.0,203.0,222.0,648.0
128,64,0.001,0.1,0.8,0.2563241272866496,19,214,2.722992747168851,51,0.6382980942726135,0.49062526777840487,8053.175308127831,True,215.0,222.0,215.0,652.0
128,64,0.001,0.25,1.0,0.3514052546383306,8,0,0.0,229,0.6738817095756531,0.5711620619584246,11789.713154383899,True,205.0,257.0,197.0,659.0
128,64,0.0005,0.1,1.0,0.2993244631788529,17,112,1.4251176994528567,55,0.6337831020355225,0.5085954481333149,8890.964151022026,True,217.0,234.0,208.0,659.0
256,128,0.0002,0.1,1.0,0.270118805676614,16,0,0.0,110,0.6494542956352234,0.5567350809038388,11799.765111569124,True,213.0,253.0,196.0,662.0
128,64,0.0001,0.01,0.9,0.36005335344136574,14,158,2.010433897442423,58,0.5605194568634033,0.48113001245205844,8194.045168275363,True,232.0,217.0,214.0,663.0
128,64,0.001,0.2,1.0,0.586425242693245,8,16,0.2035882427789795,175,0.6923924088478088,0.5590189248143828,8506.154392108312,True,199.0,254.0,212.0,665.0
256,128,0.0001,0.05,0.9,0.3209994845587507,15,3,0.03817279552105866,59,0.6026229858398438,0.503645979821992,7496.300980845145,True,222.0,230.0,221.0,673.0
256,128,0.0008,0.1,0.8,0.24303804567882814,19,210,2.672095686474106,51,0.5999804139137268,0.4784367716431362,6226.731147026797,True,224.0,216.0,234.0,674.0
128,64,0.0001,0.01,1.0,0.4000592816015175,14,100,1.272426517368622,55,0.5310628414154053,0.5168120187321819,7736.005752780297,True,235.0,238.0,219.0,692.0
256,128,0.0009,0.1,1.0,0.28834672444351866,16,99,1.259702252194936,52,0.5695227980613708,0.5498396814414472,7013.8119857612155,True,227.0,248.0,225.0,700.0
128,64,0.0008,0.1,0.8,0.2591096766401195,20,248,3.1556177630741824,51,0.6182623505592346,0.5534203469403833,6389.649389857173,True,219.0,252.0,231.0,702.0
256,128,0.0003,0.01,1.0,0.6423516151384301,2,87,1.107011070110701,62,0.5256929397583008,0.39018125291667344,418.44683366827695,True,237.0,175.0,295.0,707.0
256,128,0.0005,0.1,0.8,0.2677232630349573,21,108,1.3742206387581117,55,0.6732537150382996,0.6855178151174658,9341.690329487099,True,207.0,302.0,205.0,714.0
128,64,0.0008,0.1,1.0,0.3238870958001494,14,130,1.6541544725792083,51,0.5220419764518738,0.5222233276452586,5804.105177395772,True,238.0,240.0,237.0,715.0
128,64,0.0008,0.1,0.9,0.29149838622013446,17,152,1.9340883064003052,51,0.5659659504890442,0.5736093876309222,6779.02847057699,True,228.0,258.0,229.0,715.0
128,64,0.0007,0.15,0.9,0.47630409927039796,7,0,0.0,175,0.5657094120979309,0.5709367104540205,5235.642038782129,True,229.0,255.0,241.0,725.0
128,64,0.0007,0.15,1.0,0.5292267769671088,7,0,0.0,175,0.5657094120979309,0.5709367104540205,5235.642038782129,True,229.0,255.0,241.0,725.0
256,128,0.0001,0.05,1.0,0.35666609395416743,13,0,0.0,62,0.5593470335006714,0.5738923922770645,6132.804572955594,True,233.0,259.0,235.0,727.0
128,64,0.001,0.1,0.9,0.28836464319748084,16,161,2.0486066929634816,51,0.5758447051048279,0.5949379506038001,6973.046984515449,True,226.0,279.0,226.0,731.0
128,64,0.0006,0.1,0.8,0.3430514736263375,15,74,0.9415956228527802,51,0.6156222224235535,0.6256457999057559,7164.241359263177,True,220.0,294.0,223.0,737.0
256,128,0.0003,0.01,0.9,0.5781164536245871,5,111,1.4123934342791704,54,0.43309518694877625,0.4678753603457123,987.758965544293,True,253.0,214.0,272.0,739.0
256,128,0.0006,0.05,1.0,0.46929542146445063,2,3,0.03817279552105866,51,0.433756023645401,0.41738353564361264,265.50655608288355,True,251.0,184.0,306.0,741.0
256,128,0.0008,0.01,0.8,0.39674198790494764,2,183,2.328540526784578,53,0.44448256492614746,0.42274556326292817,266.4569178115628,True,249.0,187.0,305.0,741.0
256,128,0.0008,0.1,0.9,0.27341780138868166,15,108,1.3742206387581117,51,0.5260916948318481,0.5907866787722338,6307.13723494035,True,236.0,274.0,232.0,742.0
128,64,0.001,0.1,1.0,0.320405159108312,12,121,1.5396360860160325,55,0.5591887831687927,0.6073564782572564,6871.044431372599,True,234.0,284.0,227.0,745.0
128,64,0.0005,0.01,0.9,0.5074646758812276,2,71,0.9034228273317216,52,0.43886083364486694,0.42998301331511013,251.133188415368,True,250.0,190.0,308.0,748.0
256,128,0.0002,0.05,1.0,0.3437899171991067,15,171,2.1758493447003433,51,0.354318231344223,0.5031545016627507,2193.1869012992547,True,272.0,229.0,252.0,753.0
256,128,0.0009,0.01,0.8,0.49323932986602553,2,83,1.0561140094159562,107,0.4556686282157898,0.4860772159077802,580.4657708749271,True,247.0,220.0,288.0,755.0
256,128,0.0008,0.01,0.9,0.4463347363930661,2,85,1.0815625397633286,60,0.43326643109321594,0.44938245195045673,291.2083664117328,True,252.0,202.0,301.0,755.0
256,128,0.0008,0.1,1.0,0.3037975570985352,14,84,1.0688382745896425,54,0.5035384297370911,0.6074345479040113,6028.642807422102,True,242.0,285.0,236.0,763.0
256,128,0.0009,0.05,0.9,0.4273193941838352,2,73,0.928871357679094,55,0.41184455156326294,0.4377018144838449,263.9374922129475,True,260.0,197.0,307.0,764.0
128,64,0.0003,0.05,1.0,0.48048816636696295,9,0,0.0,58,0.497888445854187,0.6158643058269282,6251.882147562061,True,244.0,291.0,233.0,768.0
256,128,0.0008,0.05,0.8,0.430692688259035,2,50,0.636213258684311,51,0.4082055687904358,0.4386649680133212,239.14344916488514,True,261.0,198.0,310.0,769.0
128,64,0.0003,0.05,0.8,0.3843905330935704,13,114,1.450566229800229,94,0.498929500579834,0.6465791739341114,6473.875933129677,True,243.0,297.0,230.0,770.0
256,128,0.0008,0.01,1.0,0.49592748488118454,2,3,0.03817279552105866,95,0.4542747735977173,0.5043209092682911,496.31064879311737,True,248.0,231.0,294.0,773.0
256,128,0.0005,0.05,0.9,0.3804684198986646,3,43,0.5471434024685075,51,0.33363568782806396,0.4584454605543293,505.0565114872306,True,276.0,206.0,292.0,774.0
128,64,0.0006,0.05,0.8,0.37805314973716303,15,81,1.0306654790685839,54,0.3720897138118744,0.5788146270896948,3496.4939913999906,True,269.0,261.0,245.0,775.0
256,128,0.0005,0.05,1.0,0.422742688776294,3,31,0.3944522203842728,51,0.3324076235294342,0.45913385987353256,503.3895546065951,True,277.0,208.0,293.0,778.0
128,64,0.0003,0.01,0.9,0.6312143260364959,3,6,0.07634559104211731,267,0.42061370611190796,0.5811527416257142,1550.951748559687,True,256.0,264.0,259.0,779.0
256,128,0.0009,0.05,1.0,0.47479932687092796,2,61,0.7761801755948594,65,0.4042716324329376,0.4843358612823949,301.41069774541484,True,262.0,219.0,300.0,781.0
128,64,0.0007,0.1,1.0,0.2907353816193451,16,117,1.4887390253212875,55,0.5630237460136414,0.7390605348204413,5693.3446743465165,True,231.0,310.0,240.0,781.0
128,64,0.0004,0.01,1.0,0.6665335044989092,2,0,0.0,314,0.5172486305236816,0.6096062758103216,1866.8243189411335,True,239.0,287.0,257.0,783.0
128,64,0.0009,0.01,0.9,0.49134714863398793,3,43,0.5471434024685075,129,0.34346258640289307,0.49990449935212805,768.0136171034131,True,275.0,228.0,281.0,784.0
256,128,0.0005,0.1,0.9,0.301188670914327,14,40,0.5089706069474488,55,0.5158568620681763,0.7178081013869632,5786.356064514624,True,240.0,308.0,238.0,786.0
256,128,0.0005,0.1,1.0,0.33465407879369663,8,40,0.5089706069474488,55,0.43118879199028015,0.6153993782314,4604.36375324961,True,254.0,290.0,243.0,787.0
128,64,0.0006,0.1,0.9,0.38593290782962963,13,5,0.0636213258684311,51,0.5084100961685181,0.6935488928237447,3845.7223670519775,True,241.0,304.0,244.0,789.0
128,64,0.001,0.01,1.0,0.580242299629459,2,6,0.07634559104211731,76,0.41658514738082886,0.5064083289337018,353.5047576907559,True,257.0,233.0,299.0,789.0
256,128,0.0004,0.05,0.9,0.3970963014241115,6,27,0.34355515968952793,51,0.31560251116752625,0.5359220239225878,1264.4563234377736,True,282.0,243.0,265.0,790.0
128,64,0.0003,0.05,0.9,0.43243934973026665,10,16,0.2035882427789795,51,0.49637582898139954,0.7306547370348969,5741.323638329822,True,245.0,309.0,239.0,793.0
128,64,0.001,0.01,0.9,0.5222180696665131,2,10,0.1272426517368622,81,0.4163779616355896,0.5190798687165212,374.74556891974197,True,258.0,239.0,298.0,795.0
128,64,0.0002,0.01,1.0,0.7422807421013284,3,21,0.26720956864741063,286,0.395483136177063,0.5884602098751094,1411.509923900392,True,263.0,271.0,261.0,795.0
128,64,0.0005,0.05,0.8,0.31561773270769605,14,219,2.786614073037282,55,0.32760193943977356,0.5875249401606552,2540.872017945218,True,278.0,269.0,249.0,796.0
256,128,0.0001,0.01,0.9,0.744886401508046,2,22,0.2799338338210969,276,0.4623371362686157,0.6110276267685828,1235.5215014195917,True,246.0,289.0,267.0,802.0
128,64,0.0004,0.05,0.8,0.40852164997855556,9,100,1.272426517368622,55,0.35138824582099915,0.5958432108925239,2470.175268717974,True,273.0,280.0,250.0,803.0
128,64,0.0002,0.01,0.9,0.6680526678911957,6,61,0.7761801755948594,97,0.42313703894615173,0.6980465100459577,3333.0500864985825,True,255.0,305.0,246.0,806.0
128,64,0.0002,0.01,0.8,0.5938245936810628,7,116,1.4760147601476015,74,0.4155382812023163,0.6632157962978843,3009.7656745622776,True,259.0,299.0,248.0,806.0
128,64,0.0007,0.05,1.0,0.5499813965310946,2,0,0.0,55,0.3620111048221588,0.4941501126827303,204.52583279330537,True,271.0,224.0,312.0,807.0
128,64,0.0004,0.01,0.8,0.5332268035991274,5,127,1.6159816770581499,54,0.38468560576438904,0.5830429659423694,869.6470385774471,True,266.0,265.0,277.0,808.0
128,64,0.0005,0.05,0.9,0.35506994929615804,11,149,1.8959155108792467,55,0.29834213852882385,0.5937662807390887,3019.0733801944193,True,284.0,278.0,247.0,809.0
256,128,0.001,0.05,0.8,0.3394564372316426,4,166,2.1122280188319125,51,0.29813435673713684,0.5796214601619607,1342.3699841322923,True,285.0,262.0,262.0,809.0
128,64,0.0009,0.1,0.9,0.5749627866621401,3,29,0.36900369003690037,352,0.2849942743778229,0.55102620288502,1054.0582937473764,True,290.0,250.0,270.0,810.0
128,64,0.0004,0.05,1.0,0.5106520624731944,4,0,0.0,55,0.23949307203292847,0.5284903008133373,889.4078914719196,True,296.0,242.0,275.0,813.0
128,64,0.0008,0.05,1.0,0.43281793684502623,4,84,1.0688382745896425,97,0.24343520402908325,0.5371201812342011,891.9576007356231,True,295.0,244.0,274.0,813.0
256,128,0.0009,0.05,0.8,0.3798394614967424,4,112,1.4251176994528567,54,0.2961004972457886,0.5851913556076124,1314.6353307306056,True,287.0,266.0,263.0,816.0
256,128,0.0003,0.01,0.8,0.5138812921107441,6,138,1.7559485939686985,51,0.3843388259410858,0.5918314729235674,923.312414872176,True,267.0,276.0,273.0,816.0
256,128,0.0007,0.05,0.9,0.38421961887872685,3,37,0.4707978114263901,51,0.2874361574649811,0.5128011586178555,390.5605047370013,True,289.0,235.0,296.0,820.0
256,128,0.0004,0.05,1.0,0.44121811269345723,3,26,0.3308308945158417,51,0.35107091069221497,0.6105820457968466,1412.0537533599158,True,274.0,288.0,260.0,822.0
128,64,0.0005,0.01,0.8,0.45107971189442453,5,194,2.4685074436951266,51,0.32145845890045166,0.5807683399669633,778.3499891273065,True,281.0,263.0,280.0,824.0
256,128,0.0004,0.05,0.8,0.3529744901547658,7,117,1.4887390253212875,50,0.2458316832780838,0.5856482994153727,1268.9445908081602,True,294.0,267.0,264.0,825.0
128,64,0.0004,0.05,0.9,0.459586856225875,5,15,0.1908639776052933,55,0.17592395842075348,0.5473798731369559,782.580637380786,True,300.0,247.0,279.0,826.0
256,128,0.0006,0.05,0.9,0.42236587931800557,3,81,1.0306654790685839,51,0.3140607476234436,0.5055846287932667,234.00986616307557,True,283.0,232.0,311.0,826.0
256,128,0.0003,0.05,0.8,0.33162918294314875,5,40,0.5089706069474488,70,0.18901045620441437,0.5467813836659747,753.1336177309416,True,299.0,245.0,283.0,827.0
256,128,0.001,0.1,1.0,0.5746044223324934,2,6,0.07634559104211731,55,0.32277417182922363,0.5140977358604786,173.56489847215482,True,280.0,237.0,313.0,830.0
256,128,0.001,0.05,1.0,0.4243205465395532,2,86,1.094286804937015,738,0.3727598488330841,0.7871419088615398,2292.6142094490515,True,268.0,311.0,251.0,830.0
128,64,0.001,0.01,0.8,0.4641938397035672,4,34,0.4326250159053315,54,0.2620169520378113,0.550151086381244,521.7139981320067,True,292.0,249.0,290.0,831.0
128,64,0.0008,0.05,0.8,0.346254349476021,11,109,1.386944903931798,51,0.32302141189575195,0.6698930858122975,2131.0001683806427,True,279.0,300.0,253.0,832.0
128,64,0.0006,0.1,1.0,0.4288143420329218,7,0,0.0,51,0.3684500455856323,1.0660549949260092,2030.4129631718295,True,270.0,313.0,255.0,838.0
128,64,0.0006,0.05,1.0,0.47256643717145375,4,0,0.0,50,0.13456426560878754,0.5469705378139916,733.8986089103385,True,307.0,246.0,285.0,838.0
128,64,0.0009,0.05,0.8,0.27989771475083286,16,376,4.784323705306019,51,0.2961459457874298,0.6406312988496689,1955.4521623809471,True,286.0,296.0,256.0,838.0
128,64,0.0009,0.05,0.9,0.31488492909468696,13,161,2.0486066929634816,51,0.2617450952529907,0.6177523810678627,2080.8963912295344,True,293.0,292.0,254.0,839.0
256,128,0.001,0.1,0.9,0.5171439800992441,3,10,0.1272426517368622,55,0.15902088582515717,0.5533738655198138,574.7851526541795,True,301.0,251.0,289.0,841.0
256,128,0.0001,0.01,0.8,0.6621212457849297,5,77,0.9797684183738389,74,0.39021024107933044,0.7170297881593299,1123.0398481792436,True,265.0,307.0,269.0,841.0
128,64,0.0009,0.1,1.0,0.6388475407357112,2,0,0.0,352,0.27524319291114807,0.6059235655444233,859.1433310919895,True,291.0,281.0,278.0,850.0
128,64,0.0006,0.05,0.9,0.42530979345430836,8,0,0.0,54,0.19294217228889465,0.6092834031538761,1155.7111376684452,True,298.0,286.0,268.0,852.0
128,64,0.001,0.05,0.8,0.41411806180717553,4,8,0.10179412138948975,51,0.2146006077528,0.6066632332052392,888.8962504258004,True,297.0,283.0,276.0,856.0
256,128,0.001,0.1,0.8,0.45968353786599475,4,33,0.41990075073164523,55,0.28762972354888916,1.0048927077935117,1812.6331939241388,True,288.0,312.0,258.0,858.0
256,128,0.0007,0.01,0.8,0.5258654701180338,3,94,1.1960809263265046,53,0.39516007900238037,0.6482577010578635,274.8957142600017,True,264.0,298.0,302.0,864.0
128,64,0.0007,0.05,0.8,0.43998511722487565,5,54,0.6871103193790559,55,0.09859354048967361,0.5877221182034107,598.7981802288402,True,310.0,270.0,287.0,867.0
128,64,0.0005,0.05,1.0,0.39452216588462,7,119,1.5141875556686601,55,0.15866996347904205,0.6313878898526385,1043.723714298045,True,302.0,295.0,271.0,868.0
128,64,0.0009,0.01,0.8,0.4367530210079893,4,113,1.4378419646265428,55,0.13701480627059937,0.592157079323017,509.89087159475264,True,306.0,277.0,291.0,874.0
128,64,0.0009,0.1,0.8,0.511078032588569,5,49,0.6234889935106248,98,0.15085220336914062,0.617796348318971,751.349041478999,True,303.0,293.0,284.0,880.0
256,128,0.0006,0.05,0.8,0.37543633717156055,6,145,1.8450184501845017,51,0.12189796566963196,0.7039943933424225,1250.8753353083432,True,309.0,306.0,266.0,881.0
256,128,0.0003,0.05,1.0,0.4145364786789359,3,3,0.03817279552105866,70,0.147792786359787,0.5904446066210727,266.7506951977622,True,305.0,273.0,304.0,882.0
256,128,0.0003,0.05,0.9,0.3730828308110423,3,23,0.29265809899478307,70,0.14909684658050537,0.590970234119936,270.4294317074835,True,304.0,275.0,303.0,882.0
128,64,0.0008,0.01,0.8,0.4460001871204322,4,148,1.8831912457055604,60,0.12206093966960907,0.5870829379521713,241.463233622956,True,308.0,268.0,309.0,885.0
128,64,0.0007,0.05,0.9,0.4949832568779851,4,49,0.6234889935106248,55,0.06514038890600204,0.6062805177030193,390.3494867569361,True,313.0,282.0,297.0,892.0
128,64,0.0008,0.05,0.9,0.3895361431605236,6,106,1.3487721084107391,97,0.08980071544647217,0.6918127620318196,759.2753749803695,True,311.0,303.0,282.0,896.0
128,64,0.0009,0.05,1.0,0.34987214343854106,5,114,1.450566229800229,55,0.07017077505588531,0.6831256681234267,697.6093541204725,True,312.0,301.0,286.0,899.0
