hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index
128,64,0.0006,0.05,1.0,0.47256643717145375,4,0,0.0,50,0.13456426560878754,0.5469705378139916,733.8986089103385
128,64,0.0006,0.1,0.8,0.3430514736263375,15,74,0.9415956228527802,51,0.6156222224235535,0.6256457999057559,7164.241359263177
128,64,0.0006,0.1,0.9,0.38593290782962963,13,5,0.0636213258684311,51,0.5084100961685181,0.6935488928237447,3845.7223670519775
128,64,0.0006,0.1,1.0,0.4288143420329218,7,0,0.0,51,0.3684500455856323,1.0660549949260092,2030.4129631718295
128,64,0.0006,0.15,0.8,0.16110094368857206,18,191,2.430334648174068,63,0.8622964024543762,0.3102299852625015,69315.4480707443
128,64,0.0006,0.15,0.9,0.18123856164964355,17,140,1.781397124316071,65,0.8603300452232361,0.2919240313734786,61712.07800102184
128,64,0.0006,0.15,1.0,0.20137617961071505,17,139,1.7686728591423846,65,0.8602359294891357,0.29221978694396133,61651.23250576742
128,64,0.0006,0.2,0.8,0.27554436232358265,14,133,1.692327268100267,51,0.8893117308616638,0.3349434312634571,72730.40358849398
128,64,0.0006,0.2,0.9,0.30998740761403043,14,128,1.628705942231836,51,0.8881738185882568,0.3387657478905576,70186.9748569375
128,64,0.0006,0.2,1.0,0.34443045290447827,14,72,0.9161470925054078,51,0.8771630525588989,0.36823904884711023,54845.13549884113
128,64,0.0006,0.25,0.8,0.21670666860448168,18,220,2.7993383382109682,51,0.9207713603973389,0.2687316469027785,238349.99638328006
128,64,0.0006,0.25,0.9,0.24379500218004188,17,130,1.6541544725792083,51,0.909296452999115,0.35726847281029683,165457.3625208088
128,64,0.0006,0.25,1.0,0.2708833357556021,16,107,1.3614963735844254,51,0.9025148153305054,0.3352530094578864,135431.03103251287
128,64,0.0007,0.01,0.8,0.4890122153139103,5,153,1.9468125715739915,22,0.39773404598236084,0.6831801022503706,784.0094352263015
128,64,0.0007,0.01,0.9,0.5501387422281491,4,31,0.3944522203842728,29,0.3968111574649811,0.6360295162408179,272.5271551606543
128,64,0.0007,0.01,1.0,0.6112652691423879,1,0,0.0,7859,,,
128,64,0.0007,0.05,0.8,0.43998511722487565,5,54,0.6871103193790559,55,0.09859354048967361,0.5877221182034107,598.7981802288402
128,64,0.0007,0.05,0.9,0.4949832568779851,4,49,0.6234889935106248,55,0.06514038890600204,0.6062805177030193,390.3494867569361
128,64,0.0007,0.05,1.0,0.5499813965310946,2,0,0.0,55,0.3620111048221588,0.4941501126827303,204.52583279330537
128,64,0.0007,0.1,0.8,0.23258830529547608,22,216,2.7484412775162235,55,0.6660470962524414,0.37323166454428686,7863.9560945884905
128,64,0.0007,0.1,0.9,0.2616618434574106,20,149,1.8959155108792467,55,0.6353604793548584,0.43475005103550746,8006.53236292662
128,64,0.0007,0.1,1.0,0.2907353816193451,16,117,1.4887390253212875,55,0.5630237460136414,0.7390605348204413,5693.3446743465165
128,64,0.0007,0.15,0.8,0.4233814215736871,10,41,0.521694872121135,29,0.5894683003425598,0.5343609651608359,5854.096753098181
128,64,0.0007,0.15,0.9,0.47630409927039796,7,0,0.0,175,0.5657094120979309,0.5709367104540205,5235.642038782129
128,64,0.0007,0.15,1.0,0.5292267769671088,7,0,0.0,175,0.5657094120979309,0.5709367104540205,5235.642038782129
128,64,0.0007,0.2,0.8,0.2034356489770259,19,164,2.08677948848454,51,0.9335984587669373,0.2020530436182622,300368.6625367467
128,64,0.0007,0.2,0.9,0.22886510509915411,19,144,1.8322941850108156,51,0.9306431412696838,0.23342009310380393,268293.0039333599
128,64,0.0007,0.2,1.0,0.25429456122128236,16,106,1.3487721084107391,51,0.9031546711921692,0.3161093644515013,76941.53740946438
128,64,0.0007,0.25,0.8,0.16509620272274547,17,115,1.4632904949739152,51,0.9285008311271667,0.21244749378945313,254160.23219405292
128,64,0.0007,0.25,0.9,0.18573322806308865,15,113,1.4378419646265428,51,0.9133979082107544,0.26952343966803144,166601.80649239846
128,64,0.0007,0.25,1.0,0.20637025340343182,15,112,1.4251176994528567,51,0.9132844805717468,0.2695772938516701,166109.94803771767
128,64,0.0008,0.01,0.8,0.4460001871204322,4,148,1.8831912457055604,60,0.12206093966960907,0.5870829379521713,241.463233622956
128,64,0.0008,0.01,0.9,0.5017502105104863,1,63,0.8016287059422318,7796,,,
128,64,0.0008,0.01,1.0,0.5575002339005403,1,4,0.050897060694744874,7855,,,
128,64,0.0008,0.05,0.8,0.346254349476021,11,109,1.386944903931798,51,0.32302141189575195,0.6698930858122975,2131.0001683806427
128,64,0.0008,0.05,0.9,0.3895361431605236,6,106,1.3487721084107391,97,0.08980071544647217,0.6918127620318196,759.2753749803695
128,64,0.0008,0.05,1.0,0.43281793684502623,4,84,1.0688382745896425,97,0.24343520402908325,0.5371201812342011,891.9576007356231
128,64,0.0008,0.1,0.8,0.2591096766401195,20,248,3.1556177630741824,51,0.6182623505592346,0.5534203469403833,6389.649389857173
128,64,0.0008,0.1,0.9,0.29149838622013446,17,152,1.9340883064003052,51,0.5659659504890442,0.5736093876309222,6779.02847057699
128,64,0.0008,0.1,1.0,0.3238870958001494,14,130,1.6541544725792083,51,0.5220419764518738,0.5222233276452586,5804.105177395772
128,64,0.0008,0.15,0.8,0.21955394849789794,19,101,1.2851507825423083,51,0.8589407205581665,0.3623416651266982,57089.476779551966
128,64,0.0008,0.15,0.9,0.24699819206013518,19,74,0.9415956228527802,51,0.8567225337028503,0.3743274518375329,55873.45604487771
128,64,0.0008,0.15,1.0,0.2744424356223724,18,66,0.8398015014632905,51,0.8528271913528442,0.3944527060460252,46093.87683734935
128,64,0.0008,0.2,0.8,0.09822277888705787,17,254,3.2319633541162998,51,0.9419991374015808,0.15707942774472852,510450.4717230596
128,64,0.0008,0.2,0.9,0.11050062624794009,17,252,3.206514823768927,51,0.9418632984161377,0.15851386813243917,509192.20405463484
128,64,0.0008,0.2,1.0,0.12277847360882232,17,250,3.181066293421555,51,0.9416764378547668,0.16045727201858362,506284.4981148224
128,64,0.0008,0.25,0.8,0.11640059719851521,19,210,2.672095686474106,51,0.9469493627548218,0.16275011603641132,623995.9243250876
128,64,0.0008,0.25,0.9,0.13095067184832962,20,151,1.921364041226619,51,0.9441409707069397,0.19466545342725555,579573.0707553333
128,64,0.0008,0.25,1.0,0.145500746498144,20,150,1.9086397760529328,51,0.9440658688545227,0.19527369316221477,577503.6586690428
128,64,0.0009,0.01,0.8,0.4367530210079893,4,113,1.4378419646265428,55,0.13701480627059937,0.592157079323017,509.89087159475264
128,64,0.0009,0.01,0.9,0.49134714863398793,3,43,0.5471434024685075,129,0.34346258640289307,0.49990449935212805,768.0136171034131
128,64,0.0009,0.01,1.0,0.5459412762599866,1,23,0.29265809899478307,7836,,,
128,64,0.0009,0.05,0.8,0.27989771475083286,16,376,4.784323705306019,51,0.2961459457874298,0.6406312988496689,1955.4521623809471
128,64,0.0009,0.05,0.9,0.31488492909468696,13,161,2.0486066929634816,51,0.2617450952529907,0.6177523810678627,2080.8963912295344
128,64,0.0009,0.05,1.0,0.34987214343854106,5,114,1.450566229800229,55,0.07017077505588531,0.6831256681234267,697.6093541204725
128,64,0.0009,0.1,0.8,0.511078032588569,5,49,0.6234889935106248,98,0.15085220336914062,0.617796348318971,751.349041478999
128,64,0.0009,0.1,0.9,0.5749627866621401,3,29,0.36900369003690037,352,0.2849942743778229,0.55102620288502,1054.0582937473764
128,64,0.0009,0.1,1.0,0.6388475407357112,2,0,0.0,352,0.27524319291114807,0.6059235655444233,859.1433310919895
128,64,0.0009,0.15,0.8,0.2699409141702889,19,153,1.9468125715739915,51,0.8372013568878174,0.3958591938050904,35987.553317205675
128,64,0.0009,0.15,0.9,0.30368352844157503,17,143,1.8195699198371293,51,0.8138881325721741,0.47306328597260944,34209.70444343796
128,64,0.0009,0.15,1.0,0.33742614271286114,12,121,1.5396360860160325,110,0.6848059296607971,0.5136582224821896,10833.220415426586
128,64,0.0009,0.2,0.8,0.38043858250308915,12,72,0.9161470925054078,175,0.874352753162384,0.38797044128961855,47759.016190689385
128,64,0.0009,0.2,0.9,0.42799340531597524,11,29,0.36900369003690037,175,0.8352667689323425,0.49781118914390954,27728.875897027727
128,64,0.0009,0.2,1.0,0.4755482281288614,10,25,0.3181066293421555,175,0.7918697595596313,0.5758961422681208,17792.64710833249
128,64,0.0009,0.25,0.8,0.2477505366291236,16,41,0.521694872121135,85,0.9210138320922852,0.27752304927823024,187879.46891920394
128,64,0.0009,0.25,0.9,0.278719353707764,14,35,0.4453492810790177,80,0.8952430486679077,0.3306672343602246,83280.93747739852
128,64,0.0009,0.25,1.0,0.3096881707864045,13,34,0.4326250159053315,94,0.8889089822769165,0.3676739828504875,66558.8696521865
128,64,0.001,0.01,0.8,0.4641938397035672,4,34,0.4326250159053315,54,0.2620169520378113,0.550151086381244,521.7139981320067
128,64,0.001,0.01,0.9,0.5222180696665131,2,10,0.1272426517368622,81,0.4163779616355896,0.5190798687165212,374.74556891974197
128,64,0.001,0.01,1.0,0.580242299629459,2,6,0.07634559104211731,76,0.41658514738082886,0.5064083289337018,353.5047576907559
128,64,0.001,0.05,0.8,0.41411806180717553,4,8,0.10179412138948975,51,0.2146006077528,0.6066632332052392,888.8962504258004
128,64,0.001,0.05,0.9,0.4658828195330724,1,0,0.0,7859,,,
128,64,0.001,0.05,1.0,0.5176475772589694,1,0,0.0,7859,,,
128,64,0.001,0.1,0.8,0.2563241272866496,19,214,2.722992747168851,51,0.6382980942726135,0.49062526777840487,8053.175308127831
128,64,0.001,0.1,0.9,0.28836464319748084,16,161,2.0486066929634816,51,0.5758447051048279,0.5949379506038001,6973.046984515449
128,64,0.001,0.1,1.0,0.320405159108312,12,121,1.5396360860160325,55,0.5591887831687927,0.6073564782572564,6871.044431372599
128,64,0.001,0.15,0.8,0.2003879289412391,20,276,3.511897187937397,51,0.8248070478439331,0.23094850328314803,35952.426990904685
128,64,0.001,0.15,0.9,0.22543642005889397,21,216,2.7484412775162235,51,0.8227600455284119,0.2612326437891622,34259.422790378405
128,64,0.001,0.15,1.0,0.25048491117654886,21,156,1.9849853670950504,51,0.817920446395874,0.2884763850131971,33666.26606585498
128,64,0.001,0.2,0.8,0.46914019415459607,12,96,1.221529456673877,174,0.8697007894515991,0.4153365070169626,38053.85382411319
128,64,0.001,0.2,0.9,0.5277827184239205,9,24,0.30538236416846926,175,0.7247244715690613,0.5251442792059371,9973.608972432268
128,64,0.001,0.2,1.0,0.586425242693245,8,16,0.2035882427789795,175,0.6923924088478088,0.5590189248143828,8506.154392108312
128,64,0.001,0.25,0.8,0.2811242037106645,12,36,0.4580735462527039,157,0.8100882172584534,0.4926752949078959,29748.65305465473
128,64,0.001,0.25,0.9,0.31626472917449755,11,0,0.0,157,0.7876689434051514,0.4356604316379802,23573.864051214903
128,64,0.001,0.25,1.0,0.3514052546383306,8,0,0.0,229,0.6738817095756531,0.5711620619584246,11789.713154383899
256,128,0.0001,0.01,0.8,0.6621212457849297,5,77,0.9797684183738389,74,0.39021024107933044,0.7170297881593299,1123.0398481792436
256,128,0.0001,0.01,0.9,0.744886401508046,2,22,0.2799338338210969,276,0.4623371362686157,0.6110276267685828,1235.5215014195917
256,128,0.0001,0.01,1.0,0.8276515572311621,1,0,0.0,7859,,,
256,128,0.0001,0.05,0.8,0.28533287516333394,19,77,0.9797684183738389,55,0.5994666814804077,0.4413064222673175,7674.925086035489
256,128,0.0001,0.05,0.9,0.3209994845587507,15,3,0.03817279552105866,59,0.6026229858398438,0.503645979821992,7496.300980845145
256,128,0.0001,0.05,1.0,0.35666609395416743,13,0,0.0,62,0.5593470335006714,0.5738923922770645,6132.804572955594
256,128,0.0001,0.1,0.8,0.10263342110744984,19,128,1.628705942231836,51,0.8432010412216187,0.21393606312953292,65512.02211407836
256,128,0.0001,0.1,0.9,0.11546259874588108,19,119,1.5141875556686601,51,0.8424992561340332,0.21485588555357674,64858.42298610723
256,128,0.0001,0.1,1.0,0.1282917763843123,19,107,1.3614963735844254,59,0.8416699171066284,0.220912327343733,64606.47043509547
256,128,0.0001,0.15,0.8,0.09460044055859124,18,133,1.692327268100267,51,0.8517346978187561,0.27742438834755645,75669.72457603429
256,128,0.0001,0.15,0.9,0.10642549562841513,17,118,1.5014632904949738,52,0.852648138999939,0.27675698934272297,77938.01514420196
256,128,0.0001,0.15,1.0,0.11825055069823903,17,109,1.386944903931798,55,0.8514852523803711,0.2816005977125251,77595.3273526276
256,128,0.0001,0.2,0.8,0.055225135688673516,14,176,2.239470670568775,51,0.8957875967025757,0.22334041269981672,164068.97089457666
256,128,0.0001,0.2,0.9,0.0621282776497577,13,145,1.8450184501845017,52,0.8985812664031982,0.19270751238865647,173333.31132456142
256,128,0.0001,0.2,1.0,0.06903141961084189,13,121,1.5396360860160325,52,0.8972775936126709,0.1976999868676222,171755.6494476755
256,128,0.0001,0.25,0.8,0.06533143092931326,11,41,0.521694872121135,175,0.8639898896217346,0.29362331054888136,300878.8821761088
256,128,0.0001,0.25,0.9,0.07349785979547742,11,33,0.41990075073164523,175,0.8634673953056335,0.2953080709873721,298332.72444699885
256,128,0.0001,0.25,1.0,0.08166428866164158,11,19,0.24176103830003814,175,0.862314760684967,0.2994295490609406,292763.1259588307
256,128,0.0002,0.01,0.8,0.542946384009856,7,129,1.6414302074055223,35,0.17374739050865173,0.6195475860412126,719.1321023496672
256,128,0.0002,0.01,0.9,0.6108146820110879,3,52,0.6616617890316834,44,0.40672481060028076,0.5858320708612988,1258.1840800779355
256,128,0.0002,0.01,1.0,0.6786829800123199,1,14,0.1781397124316071,7845,,,
256,128,0.0002,0.05,0.8,0.27503193375928536,21,325,4.1353861814480215,51,0.6118284463882446,0.3707843315499729,7094.969062927497
256,128,0.0002,0.05,0.9,0.309410925479196,19,240,3.053823641684693,51,0.6009061932563782,0.44944192125613336,7471.079582123399
256,128,0.0002,0.05,1.0,0.3437899171991067,15,171,2.1758493447003433,51,0.354318231344223,0.5031545016627507,2193.1869012992547
256,128,0.0002,0.1,0.8,0.21609504454129122,20,59,0.7507316452474869,45,0.7119979858398438,0.37868486025026116,14142.807663597661
256,128,0.0002,0.1,0.9,0.2431069251089526,18,1,0.012724265173686218,110,0.683554470539093,0.4674847202335434,13572.52475541703
256,128,0.0002,0.1,1.0,0.270118805676614,16,0,0.0,110,0.6494542956352234,0.5567350809038388,11799.765111569124
256,128,0.0002,0.15,0.8,0.1772859852920334,19,187,2.379437587479323,51,0.8562005758285522,0.22273190770681622,58167.793791407305
256,128,0.0002,0.15,0.9,0.19944673345353756,18,110,1.3996691691054841,63,0.8478792905807495,0.2838369520313281,59145.58953518145
256,128,0.0002,0.15,1.0,0.22160748161504173,15,39,0.4962463417737626,150,0.809156596660614,0.41336166547052033,43631.56898224992
256,128,0.0002,0.2,0.8,0.04315537924295274,19,292,3.715485430716376,51,0.9295213222503662,0.11340110300106465,375798.4988929168
256,128,0.0002,0.2,0.9,0.04854980164832184,19,270,3.4355515968952797,51,0.9288187026977539,0.11442706640147716,366330.1533505691
256,128,0.0002,0.2,1.0,0.053944224053690926,19,252,3.206514823768927,51,0.9277872443199158,0.11646755438237487,355006.24405904213
