perplexity,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
80,3.0,40,22,326,4.26255230125523,0.669474720954895,0.2766279349202889,8775.676681548295,0.0,0.0007839985747836126,0.10651173968115568,0.02320087137908618,0.03262415240875637
70,3.0,40,22,326,4.26255230125523,0.6655388474464417,0.2763325572077342,8269.712100383069,0.0,0.0066584366471020735,0.10533022883093679,0.035792117893608325,0.036945195842911796
70,3.0,50,21,391,5.11244769874477,0.6651616096496582,0.27404071241035993,8611.239370601854,0.045454545454545456,0.007221478134838562,0.09616284964143973,0.004028287206585908,0.03821679010935241
70,3.5,40,22,286,3.7395397489539746,0.6590221524238586,0.27764907387667576,8309.656373856184,0.0,0.01638484712856925,0.11059629550670302,0.031134811465007704,0.039528988525069995
70,3.5,50,21,333,4.35407949790795,0.659629762172699,0.276013693281772,8604.10966934897,0.045454545454545456,0.0154779669064195,0.104054773127088,0.003196998999494009,0.04204607112188674
80,3.0,50,21,376,4.916317991631799,0.6734247803688049,0.2721613971721478,9106.717758482408,0.045454545454545456,0.0051116124907535695,0.08864558868859129,0.06179863775913634,0.05025259609825666
70,3.0,60,20,489,6.393828451882845,0.6697317361831665,0.2772029090182625,9015.950336415579,0.09090909090909091,0.00040039375646796425,0.10881163607305,0.05121560140515495,0.06283418053594096
70,3.5,60,20,390,5.099372384937238,0.6597076058387756,0.27962564776442755,8930.127320386257,0.09090909090909091,0.015361782330185678,0.11850259105771022,0.04120905855128913,0.06649563071206899
80,3.5,40,21,275,3.5957112970711296,0.6709578037261963,0.28695082201071775,9265.956163704464,0.045454545454545456,0.0014295578002929091,0.14780328804287102,0.08036505501591684,0.06876311157840656
60,3.0,60,21,672,8.786610878661087,0.6500277519226074,0.2758021930473412,7738.750895564987,0.045454545454545456,0.029809325488645698,0.10320877218936486,0.09769959091852605,0.06904305851277051
