hidden_1,hidden_2,learning_rate,beta,batch_size,epochs,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
128,64,0.0007,0.1,128,50,0.2,90,12,344,4.497907949790795,0.8794223666191101,0.21232777910027475,135198.7478669858,0.0,0.01188498132684259,0.11751462684355132,0.024807005448971665,0.038551653404841395
128,64,0.0007,0.1,128,50,0.2,80,12,344,4.497907949790795,0.8794223666191101,0.21232777910027475,135198.7478669858,0.0,0.01188498132684259,0.11751462684355132,0.024807005448971665,0.038551653404841395
128,64,0.0007,0.1,128,50,0.2,100,12,344,4.497907949790795,0.8794223666191101,0.21232777910027475,135198.7478669858,0.0,0.01188498132684259,0.11751462684355132,0.024807005448971665,0.038551653404841395
128,64,0.0007,0.1,128,50,0.2,70,12,321,4.197175732217573,0.878807544708252,0.21329509724354015,129074.27923163427,0.0,0.01257579246263827,0.12260577496600077,0.06898299822087471,0.051041141412378435
128,64,0.0007,0.1,128,50,0.2,60,12,319,4.17102510460251,0.8772230744361877,0.21428543692988342,128550.31677691954,0.0,0.01435609613911491,0.12781808910464953,0.07276235656040807,0.05373413545104312
256,128,0.0001,0.1,128,50,0.2,70,12,0,0.0,0.8827323317527771,0.2035937064635002,161589.0871072215,0.0,0.00816591937890215,0.07154582349210628,0.16554737546750556,0.0613147795846285
256,128,0.0001,0.1,128,50,0.2,60,12,0,0.0,0.8827323317527771,0.2035937064635002,161589.08710722154,0.0,0.00816591937890215,0.07154582349210628,0.16554737546750575,0.06131477958462855
256,128,0.0001,0.1,128,50,0.2,50,12,0,0.0,0.8827323317527771,0.2035937064635002,161589.08710722154,0.0,0.00816591937890215,0.07154582349210628,0.16554737546750575,0.06131477958462855
256,128,0.0001,0.1,128,50,0.3,70,12,0,0.0,0.8827323317527771,0.2035937064635002,161589.08710722154,0.0,0.00816591937890215,0.07154582349210628,0.16554737546750575,0.06131477958462855
256,128,0.0001,0.1,128,50,0.25,20,12,0,0.0,0.8827323317527771,0.2035937064635002,161589.08710722154,0.0,0.00816591937890215,0.07154582349210628,0.16554737546750575,0.06131477958462855
