hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
256,128,0.0008,0.1,1.0,0.3037975570985352,14,84,1.0688382745896425,54
256,128,0.0008,0.15,0.8,0.22430554727782584,23,155,1.9722611019213643,51
256,128,0.0008,0.15,0.9,0.25234374068755405,23,155,1.9722611019213643,51
256,128,0.0008,0.15,1.0,0.2803819340972823,21,151,1.921364041226619,51
256,128,0.0008,0.2,0.8,0.28707040467400374,13,131,1.6668787377528946,51
256,128,0.0008,0.2,0.9,0.32295420525825425,13,94,1.1960809263265046,51
256,128,0.0008,0.2,1.0,0.3588380058425047,12,57,0.7252831149001145,51
256,128,0.0008,0.25,0.8,0.15416130435087164,20,137,1.7432243287950122,51
256,128,0.0008,0.25,0.9,0.1734314673947306,20,130,1.6541544725792083,51
256,128,0.0008,0.25,1.0,0.19270163043858954,18,129,1.6414302074055223,51
256,128,0.0009,0.01,0.8,0.49323932986602553,2,83,1.0561140094159562,107
256,128,0.0009,0.01,0.9,0.5548942460992787,1,52,0.6616617890316834,7807
256,128,0.0009,0.01,1.0,0.6165491623325319,1,31,0.3944522203842728,7828
256,128,0.0009,0.05,0.8,0.3798394614967424,4,112,1.4251176994528567,54
256,128,0.0009,0.05,0.9,0.4273193941838352,2,73,0.928871357679094,55
256,128,0.0009,0.05,1.0,0.47479932687092796,2,61,0.7761801755948594,65
256,128,0.0009,0.1,0.8,0.23067737955481493,23,262,3.3337574755057893,51
256,128,0.0009,0.1,0.9,0.2595120519991668,21,151,1.921364041226619,51
256,128,0.0009,0.1,1.0,0.28834672444351866,16,99,1.259702252194936,52
256,128,0.0009,0.15,0.8,0.3042160182489778,19,57,0.7252831149001145,51
256,128,0.0009,0.15,0.9,0.34224302053010003,18,57,0.7252831149001145,51
