cluster,feature,standardized_mean
0,unittype_MICU,2.798282472286977
0,unittype_Med-Surg ICU,-1.4661638786986528
0,gender,1.014686824524784
0,ethnicity_Caucasian,0.5057625705492819
0,admissionheight,-0.47472342303069487
1,gender,1.014686824524784
1,unittype_Med-Surg ICU,0.6819628156092583
1,admissionheight,-0.5063854977978387
1,ethnicity_Caucasian,0.5057625705492819
1,unittype_MICU,-0.3573153378060339
2,gender,-0.9853968955694296
2,unittype_Med-Surg ICU,0.6819628156092583
2,admissionheight,0.5533208532526077
2,ethnicity_Caucasian,0.5057625705492819
2,unittype_MICU,-0.3573153378060339
3,unittype_MICU,2.798282472286977
3,unittype_Med-Surg ICU,-1.4661638786986528
3,gender,-0.9853968955694294
3,admissionheight,0.5515913835378548
3,ethnicity_Caucasian,0.5057625705492819
4,unittype_SICU,5.936483547882157
4,unittype_Med-Surg ICU,-1.4661638786986528
4,gender,-0.9853968955694294
4,admissionheight,0.6683253015361366
4,ethnicity_Caucasian,0.5057625705492819
5,ethnicity_African American,3.3844538920296854
5,ethnicity_Caucasian,-1.9769538219801837
5,gender,-0.9853968955694296
5,unittype_Med-Surg ICU,0.6819628156092583
5,admissionheight,0.5254307677773646
6,unittype_CCU-CTICU,3.581667281875398
6,unittype_Med-Surg ICU,-1.4661638786986528
6,gender,-0.9853968955694296
6,admissionheight,0.5198486500732666
6,ethnicity_Caucasian,0.5057625705492819
7,ethnicity_African American,3.3844538920296854
7,ethnicity_Caucasian,-1.9769538219801837
7,gender,1.014686824524784
7,unittype_Med-Surg ICU,0.6819628156092583
7,admissionheight,-0.46123525968535856
8,unittype_CCU-CTICU,3.5816672818753976
8,unittype_Med-Surg ICU,-1.4661638786986528
8,gender,1.014686824524784
8,ethnicity_Caucasian,0.49462931318367886
8,admissionheight,-0.45450135401227953
9,unittype_SICU,5.936483547882157
9,unittype_Med-Surg ICU,-1.4661638786986528
9,gender,1.014686824524784
9,std_platelets x 1000,0.6264710347332225
9,total_lab_measurements,0.5689381367545354
10,unittype_Neuro ICU,6.440765799691168
10,unittype_Med-Surg ICU,-1.4661638786986528
10,gender,-0.9853968955694296
10,admissionheight,0.5896225401847266
10,ethnicity_Caucasian,0.4726596853155557
11,ethnicity_African American,3.3844538920296854
11,unittype_MICU,2.7982824722869775
11,ethnicity_Caucasian,-1.9769538219801834
11,unittype_Med-Surg ICU,-1.4661638786986528
11,gender,0.9783216659776165
12,ethnicity_Hispanic,4.7237861026280585
12,ethnicity_Caucasian,-1.9769538219801834
12,gender,0.999061170461548
12,admissionheight,-0.7402998713739817
12,unittype_Med-Surg ICU,0.5309226574157333
13,unittype_Neuro ICU,6.440765799691168
13,unittype_Med-Surg ICU,-1.4661638786986528
13,gender,1.014686824524784
13,admissionheight,-0.5482946911605677
13,ethnicity_Caucasian,0.5057625705492819
14,ethnicity_Asian,6.797340248718006
14,ethnicity_Caucasian,-1.9769538219801834
14,gender,1.014686824524784
14,admissionheight,-0.8587523214131842
14,admissionweight,-0.6353079216370848
15,ethnicity_Hispanic,4.7237861026280585
15,ethnicity_Caucasian,-1.9769538219801834
15,gender,-0.9853968955694296
15,unittype_Med-Surg ICU,0.6819628156092583
15,admissionheight,0.4967302433584068
16,ethnicity_Native American,8.434550384407002
16,ethnicity_Caucasian,-1.9769538219801834
16,gender,1.014686824524784
16,age,-0.7102942985398987
16,unittype_Med-Surg ICU,0.6819628156092583
17,ethnicity_Asian,6.797340248718006
17,ethnicity_Caucasian,-1.9769538219801834
17,gender,-0.9853968955694296
17,unittype_Med-Surg ICU,0.6819628156092583
17,unittype_MICU,-0.3573153378060339
18,ethnicity_Other/Unknown,4.579767317689028
18,ethnicity_Caucasian,-1.9769538219801834
18,gender,1.014686824524784
18,admissionheight,-0.8443970259091418
18,unittype_Med-Surg ICU,0.6819628156092583
19,ethnicity_Other/Unknown,4.579767317689028
19,ethnicity_Caucasian,-1.9769538219801832
19,gender,-0.9853968955694296
19,unittype_Med-Surg ICU,0.6819628156092583
19,age,-0.37877026151059606
20,unittype_Cardiac ICU,3.5712361830940607
20,unittype_Med-Surg ICU,-1.4661638786986528
20,gender,-0.9853968955694296
20,ethnicity_Caucasian,0.49496815145132766
20,admissionheight,0.46814496412004203
21,unittype_Cardiac ICU,3.57123618309406
21,unittype_Med-Surg ICU,-1.4661638786986526
21,gender,1.014686824524784
21,admissionheight,-0.5633579104982277
21,ethnicity_Caucasian,0.5057625705492819
22,unittype_Cardiac ICU,3.5712361830940607
22,ethnicity_African American,3.3844538920296854
22,ethnicity_Caucasian,-1.9769538219801834
22,unittype_Med-Surg ICU,-1.4661638786986528
22,min_creatinine,0.4982725870891488
