cluster,patients,patient_percentage,mean_age,mean_apache_iva,mean_icu_los,mean_hospital_los,icu_mortality,hospital_mortality
0,363,4.946852003270646,67.0909090909091,75.55015197568389,3.93560988674625,9.167759029690849,14.325068870523417,19.667590027700832
1,2060,28.07304442627419,66.49271844660194,73.1372872048325,3.6767539778856526,8.338667071197412,13.009708737864079,19.262899262899264
2,2128,28.99972744617062,66.33176691729324,73.57386666666666,3.993548650271512,8.712220982142858,12.546992481203006,18.89838556505223
3,350,4.769692014172799,67.23142857142857,75.78834355828221,4.187311507936508,10.533037698412699,15.142857142857144,19.82758620689655
4,87,1.1856091578086672,64.50574712643679,73.37333333333333,4.6544460408684545,10.924225734355044,14.942528735632186,19.54022988505747
5,173,2.357590624148269,61.26589595375722,79.8076923076923,3.9500923249839435,9.828038696210662,12.138728323699421,21.428571428571427
6,232,3.161624420823113,66.67672413793103,73.14077669902913,4.242061781609196,8.758414152298851,10.344827586206897,20.689655172413794
7,98,1.3355137639683836,59.96938775510204,73.89655172413794,4.531753117913833,12.257865646258503,23.46938775510204,27.55102040816326
8,170,2.316707549741074,59.529411764705884,70.67857142857143,4.286691176470588,10.4725204248366,10.0,19.411764705882355
9,237,3.2297628781684384,65.58227848101266,72.23195876288659,4.004565166432255,8.591323839662447,10.970464135021098,17.29957805907173
10,65,0.8857999454892341,65.21538461538462,75.70491803278688,9.082350427350427,13.862147435897436,18.461538461538463,19.047619047619047
11,144,1.9623875715453802,63.90277777777778,72.91452991452991,4.033994020061729,10.942901234567902,8.333333333333332,17.02127659574468
12,130,1.7715998909784683,61.792307692307695,71.76190476190476,3.8142521367521365,10.41,10.76923076923077,18.461538461538463
13,116,1.5808122104115565,64.31896551724138,72.82716049382717,5.054879070881226,9.75710608237548,18.103448275862068,24.561403508771928
14,119,1.6216952848187516,65.34453781512605,72.95145631067962,3.680327964519141,8.681162464985995,11.76470588235294,23.52941176470588
15,95,1.2946306895611883,54.873684210526314,79.0126582278481,3.6952266081871348,8.37032894736842,13.684210526315791,20.0
16,47,0.6405014990460616,61.234042553191486,79.5952380952381,4.06137706855792,11.722739361702128,14.893617021276595,21.27659574468085
17,110,1.4990460615971655,62.20909090909091,74.85106382978724,3.5498295454545454,8.913175505050505,10.0,15.454545454545453
18,135,1.839738348323794,59.629629629629626,77.58181818181818,4.132021604938271,9.927134773662551,14.074074074074074,20.610687022900763
19,230,3.134369037884982,66.51739130434783,72.19634703196347,5.85304347826087,11.191096014492752,14.347826086956522,23.043478260869566
20,192,2.616516762060507,65.77083333333333,70.07821229050279,4.399692563657408,9.281090856481482,9.895833333333332,15.873015873015872
21,57,0.776778413736713,61.36842105263158,72.07272727272728,6.170930799220272,10.33754873294347,17.543859649122805,24.561403508771928
