perplexity,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
10,3.0,10,60,145,1.8959205020920502,0.1455485075712204,0.4546883675383081,1396.3336575990893,1.7272727272727273,0.7827634215354919,0.8187534701532324,0.8371943421530813,1.0414959902786334
10,3.0,20,82,2479,32.41370292887029,0.5193513631820679,0.552790559774325,9336.699255912521,2.727272727272727,0.22484871166855547,1.2111622390973,0.08861335269346572,1.0629742576830121
10,3.0,30,29,5864,76.67364016736403,0.7342193722724915,0.368788231095573,18603.099906232954,0.3181818181818182,0.09584980936192748,0.47515292438229206,1.1690302326693576,0.5145536961488488
10,3.0,40,6,7346,96.05125523012552,0.9027988910675049,0.1404248675371427,34133.73718534968,0.7272727272727273,0.34746103144403706,0.4383005298514292,2.9798263881928433,1.1232151691902592
10,3.5,10,50,76,0.9937238493723849,0.2808053195476532,0.4110693684051545,1408.8845896357009,1.2727272727272727,0.5808875827646968,0.644277473620618,0.8357309650184744,0.8334058235327655
10,3.5,20,48,693,9.061192468619247,0.21614199876785278,0.5214535771244923,2444.605196053906,1.1818181818181819,0.6774000018390257,1.085814308497969,0.714971020748808,0.9150008782259962
10,3.5,30,48,3869,50.58838912133892,0.6357804536819458,0.5058737126313754,12358.1060424475,1.1818181818181819,0.05107394972843916,1.0234948505255015,0.4408945691691666,0.6743203878103222
10,3.5,40,24,6038,78.94874476987448,0.7322779893875122,0.4063830275257889,20165.414983611056,0.09090909090909091,0.09295222296643607,0.6255321101031557,1.3511885102074406,0.5401454835465308
10,3.5,50,6,7314,95.63284518828452,0.8528130054473877,0.20858689300279368,31187.330239845305,0.7272727272727273,0.27285523201102635,0.1656524279888253,2.6362897854353258,0.9505175431769762
10,4.0,10,49,50,0.653765690376569,0.34549158811569214,0.40317953262552164,1425.8174446110743,1.2272727272727273,0.48434091326016104,0.6127181305020866,0.8337566771550476,0.7895221120475057
10,4.0,20,35,389,5.086297071129707,0.28635963797569275,0.4335277419349138,2063.997240788688,0.5909090909090909,0.5725975552601601,0.7341109677396551,0.7593480421014764,0.6642414140025956
10,4.0,30,50,1586,20.73744769874477,0.3942352533340454,0.5745319500615705,6393.354107400735,1.2727272727272727,0.4115891741282905,1.2981278002462822,0.2545662595475953,0.8092526266623602
10,4.0,40,33,4538,59.33577405857741,0.6599743366241455,0.40838093611338205,13918.025285568761,0.5,0.014963676680379899,0.6335237444535282,0.6227735041803727,0.44281523132857015
10,4.0,50,20,6047,79.06642259414227,0.7532707452774048,0.3406504568687062,19607.56479995929,0.09090909090909091,0.12428469444388768,0.36260182747482483,1.2861459140949818,0.4659853817306963
10,4.0,60,3,7455,97.47646443514645,0.9191468954086304,0.11668470283317535,21196.119572057018,0.8636363636363636,0.3718610379233288,0.5332611886672987,1.4713636113765354,0.8100305504008816
10,4.5,10,48,43,0.5622384937238494,0.34687840938568115,0.40782123657465547,1455.7192901960896,1.1818181818181819,0.4822710307676401,0.6312849462986219,0.8302702685772612,0.7814111068654264
10,4.5,20,35,264,3.4518828451882846,0.3564971387386322,0.424528402639994,1926.1522714723806,0.5909090909090909,0.467914718300549,0.6981136105599759,0.7754200896298712,0.6330893773498718
10,4.5,30,31,666,8.7081589958159,0.23216645419597626,0.5033683101151385,2591.002423823696,0.4090909090909091,0.6534829041851101,1.013473240460554,0.6979018218189422,0.6934872188888789
10,4.5,40,41,2344,30.648535564853557,0.4950001537799835,0.5368800196080614,8485.21603148266,0.8636363636363636,0.26119380032838285,1.1475200784322457,0.010665416205708825,0.5707539146506753
10,4.5,50,28,4662,60.9571129707113,0.679140567779541,0.40299651410166976,14848.106728567891,0.2727272727272727,0.013642638476926828,0.611986056406679,0.7312164399748493,0.40739310189643196
10,4.5,60,18,6001,78.46495815899581,0.7397444844245911,0.37551898889164925,18662.88370641097,0.18181818181818182,0.10409624540983735,0.502075955566597,1.1760007306327929,0.49099777835685227
10,4.5,70,4,7345,96.03817991631799,0.8110617995262146,0.2743321652252759,5247.947116152931,0.8181818181818182,0.21053999929285755,0.0973286609011037,0.3881150984642175,0.3785413942099992
10,5.0,10,45,33,0.4314853556485356,0.329468309879303,0.4598048683279074,1550.2468653433943,1.0454545454545454,0.5082562539114881,0.8392194733116296,0.8192488168112181,0.8030447723722204
10,5.0,20,35,224,2.928870292887029,0.340863972902298,0.4272575116258473,1920.7374538465601,0.5909090909090909,0.49124780163836124,0.7090300465033892,0.7760514308146196,0.6418095924663653
10,5.0,30,26,496,6.485355648535565,0.33689507842063904,0.4605407056589429,2555.690974569149,0.18181818181818182,0.4971715247453149,0.8421628226357716,0.7020189636597395,0.5557928732147519
10,5.0,40,30,918,12.003138075313807,0.2249346226453781,0.5090139068512473,2769.4690913327563,0.36363636363636365,0.6642766826188387,1.036055627404989,0.6770934834612472,0.6852655392803596
10,5.0,50,34,2976,38.912133891213394,0.5369510054588318,0.4843405938598147,9109.80698139283,0.5454545454545454,0.19858058886741528,0.9373623754392588,0.062158826003135235,0.43588908394108866
10,5.0,60,21,4866,63.6244769874477,0.699530303478241,0.3984135028258806,14829.83849723895,0.045454545454545456,0.04407507981827004,0.5936540113035225,0.7290864537763344,0.3530675225881681
10,5.0,70,14,5914,77.32740585774059,0.7552081942558289,0.33803695503490994,19413.855360355203,0.36363636363636365,0.12717640933705793,0.35214782013963974,1.2635603432507414,0.5266302340909507
10,5.0,80,4,7229,94.52144351464436,0.7660141587257385,0.32312656111101556,5189.300502633071,0.8181818181818182,0.14330471451602758,0.29250624444406226,0.394953006039268,0.41223644579529395
10,5.5,10,41,26,0.33995815899581594,0.37232276797294617,0.4623763741450964,1682.4926472192903,0.8636363636363636,0.4442943761597819,0.8495054965803857,0.8038296070839345,0.7403164608651165
10,5.5,20,35,172,2.2489539748953975,0.3401114046573639,0.47714043541078793,1927.4795581194508,0.5909090909090909,0.49237103782483005,0.9085617416431517,0.7752653345148944,0.6917768012229918
10,5.5,30,27,385,5.033995815899582,0.4102706015110016,0.45346256802414014,2360.6341569696633,0.22727272727272727,0.3876558186402962,0.8138502720965606,0.7247616321716579,0.5383851125453105
10,5.5,40,27,546,7.139121338912134,0.2539860010147095,0.4869568301922111,2576.653658713535,0.22727272727272727,0.6209164163959561,0.9478273207688444,0.6995748174746277,0.6238978204780389
10,5.5,50,28,1383,18.0831589958159,0.238297700881958,0.5738619953552441,3081.3345419185293,0.2727272727272727,0.6443317897284209,1.2954479814209763,0.6407315010897526,0.7133096362416056
10,5.5,60,28,3239,42.35094142259414,0.5549431443214417,0.503931492084844,10969.49092788379,0.2727272727272727,0.17172665026650505,1.015725968339376,0.2789888555939166,0.43479218673176756
10,5.5,70,16,5150,67.33786610878661,0.7114054560661316,0.37344953525071434,15385.002425644188,0.2727272727272727,0.0617991881584053,0.49379814100285735,0.7938158456985372,0.40553511189676816
10,5.5,80,13,5686,74.34623430962343,0.7333725690841675,0.35967925473532386,19042.99963979056,0.4090909090909091,0.09458592400622005,0.43871701894129544,1.2203203846461232,0.5406785591711369
10,5.5,90,6,6990,91.39644351464436,0.7826517820358276,0.2933679428835831,13163.203115059725,0.7272727272727273,0.1681369881131755,0.17347177153433235,0.5347649402111682,0.40091160678285087
10,6.0,10,40,14,0.18305439330543932,0.36884748935699463,0.49856457982591385,1718.7176010995518,0.8181818181818182,0.4494813591686648,0.9942583193036554,0.7996059550829572,0.7653818629342739
10,6.0,20,36,112,1.4644351464435146,0.3872067630290985,0.4727871135809085,1876.8320893610105,0.6363636363636364,0.42207945816552467,0.8911484543236341,0.7811705810328914,0.6826905324714216
10,6.0,30,27,370,4.837866108786611,0.40942874550819397,0.45843180331298866,2360.676225900444,0.22727272727272727,0.388912320137024,0.8337272132519546,0.724756727140605,0.5436672469505777
10,6.0,40,25,483,6.3153765690376575,0.3352053165435791,0.4679964722528516,2595.313629183391,0.13636363636363635,0.49969355739764315,0.8719858890114065,0.6973991564130929,0.5513605597964447
10,6.0,50,23,773,10.107217573221758,0.36497747898101807,0.47009262565817783,2897.834960050916,0.045454545454545456,0.455257494058182,0.8803705026327113,0.6621266525838155,0.5108022986823136
10,6.0,60,26,1609,21.038179916317993,0.2859533727169037,0.5462825324956893,3308.132320062429,0.18181818181818182,0.5732039213180542,1.185130129982757,0.6142879922134963,0.6386100563331223
10,6.0,70,22,3426,44.79602510460251,0.5466278791427612,0.49847158272929715,10111.990584264331,0.0,0.18413749381677433,0.9938863309171886,0.1790085201009166,0.3392580862087199
10,6.0,80,17,4886,63.88598326359832,0.6938251256942749,0.4139534229693734,15566.494421598883,0.22727272727272727,0.03555988909593263,0.6558136918774935,0.8149769225189301,0.43340580769127085
