n_neighbors,min_dist,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
10,0.1,0.35,50,22,523,6.8383891213389125,0.8700171113014221,0.10905989286362706,48604.16467602009,0.0,0.03573465631121685,0.21177658737363408,0.10675832557596587,0.0885673923152042
10,0.1,0.45,50,22,522,6.82531380753138,0.8711956739425659,0.10907356452293847,48605.45979223565,0.0,0.03713770707448327,0.21192849469931635,0.1067345240810802,0.08895018146371995
10,0.1,0.4,50,22,522,6.82531380753138,0.8711956739425659,0.10907356452293847,48605.45979223565,0.0,0.03713770707448327,0.21192849469931635,0.1067345240810802,0.08895018146371995
10,0.1,0.5,50,22,522,6.82531380753138,0.8711956739425659,0.10907356452293847,48605.45979223565,0.0,0.03713770707448327,0.21192849469931635,0.1067345240810802,0.08895018146371995
10,0.1,0.55,50,22,521,6.812238493723849,0.8726222515106201,0.10914198165971395,48615.35138759029,0.0,0.038836013703119225,0.21268868510793282,0.10655273749435035,0.0895193590763506
10,0.1,0.7,50,22,504,6.589958158995817,0.8711049556732178,0.11030932416148431,48828.115404079814,0.0,0.0370297091347831,0.22565915734982575,0.10264258519334708,0.09133286291948899
10,0.1,0.65,50,22,510,6.668410041841004,0.8708912134170532,0.11020354001156307,48719.29742804781,0.0,0.036775254067920544,0.2244837779062564,0.10464242927597193,0.09147536531253722
10,0.1,0.6,50,22,511,6.681485355648535,0.872212290763855,0.11018635626450704,48701.01059807813,0.0,0.03834796519506549,0.2242928473834116,0.1049785025061345,0.0919048287711529
15,0.1,0.4,50,22,525,6.864539748953975,0.885447084903717,0.09001123237560198,72132.48746842997,0.0,0.05410367250442509,0.00012480417335533313,0.3256424488755762,0.09496773138833915
15,0.1,0.45,50,22,516,6.7468619246861925,0.8856180906295776,0.09052090850031874,72253.27291951579,0.0,0.05430725074949722,0.005787872225763836,0.3278622298201335,0.09698933819884864
